epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,221.82,2.06068,1.88006,2.05549,0.28038,0.23059,0.15311,0.05124,2.36057,1.77604,2.28262,0.00997561,0.0033252,0.00997561,0.0033252,0.00997561,0.0033252,0.00997561,0.0033252
2,411.564,1.99382,1.55735,2.00865,0.06998,0.15942,0.02353,0.00709,2.81879,3.09353,2.71092,0.0199741,0.00665803,0.0199741,0.00665803,0.0199741,0.00665803,0.0199741,0.00665803
3,588.847,2.0743,1.67525,2.13886,0.22189,0.2524,0.15518,0.05258,2.31782,1.8426,2.3282,0.0299666,0.00998886,0.0299666,0.00998886,0.0299666,0.00998886,0.0299666,0.00998886
4,755.953,2.00378,1.59614,2.09307,0.31024,0.27234,0.19207,0.06753,2.19555,1.59296,2.15784,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
5,921.697,1.93521,1.51378,2.01851,0.31531,0.27401,0.21073,0.08124,2.20676,1.6542,2.12712,0.0299638,0.00998794,0.0299638,0.00998794,0.0299638,0.00998794,0.0299638,0.00998794
6,1089.49,1.87672,1.43386,1.96545,0.36885,0.35579,0.30243,0.12429,1.95497,1.39914,1.94603,0.0299435,0.00998116,0.0299435,0.00998116,0.0299435,0.00998116,0.0299435,0.00998116
7,1257.87,1.84506,1.38882,1.93143,0.38728,0.39813,0.32928,0.13591,1.95339,1.34084,1.91686,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
8,1424.98,1.80292,1.33588,1.89224,0.44684,0.4166,0.38208,0.16418,1.9148,1.24551,1.90788,0.0298893,0.0099631,0.0298893,0.0099631,0.0298893,0.0099631,0.0298893,0.0099631
9,1591.31,1.77706,1.30157,1.8724,0.44628,0.40317,0.3743,0.1648,1.85214,1.23587,1.83373,0.0298555,0.00995183,0.0298555,0.00995183,0.0298555,0.00995183,0.0298555,0.00995183
10,1760.39,1.7566,1.26361,1.84697,0.46399,0.41114,0.4071,0.17869,1.84635,1.19949,1.85085,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
11,1926.34,1.73782,1.2565,1.83729,0.49424,0.43479,0.42079,0.18779,1.83969,1.14142,1.82446,0.0297744,0.0099248,0.0297744,0.0099248,0.0297744,0.0099248,0.0297744,0.0099248
12,2092.97,1.72486,1.23093,1.8162,0.51612,0.45164,0.45088,0.20107,1.82682,1.14145,1.82274,0.0297272,0.00990905,0.0297272,0.00990905,0.0297272,0.00990905,0.0297272,0.00990905
13,2261.72,1.70649,1.21246,1.80424,0.48874,0.44783,0.43982,0.20046,1.78826,1.15302,1.80737,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
14,2428.97,1.68539,1.19167,1.78437,0.51114,0.46034,0.46249,0.2133,1.78004,1.10171,1.76849,0.0296194,0.00987313,0.0296194,0.00987313,0.0296194,0.00987313,0.0296194,0.00987313
15,2595.18,1.68118,1.17002,1.7773,0.54998,0.49545,0.50375,0.2329,1.77194,1.05497,1.75928,0.0295589,0.00985296,0.0295589,0.00985296,0.0295589,0.00985296,0.0295589,0.00985296
16,2759.48,1.67117,1.15149,1.76555,0.5353,0.49964,0.49957,0.23295,1.75257,1.05027,1.75675,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
17,2925.3,1.65423,1.13809,1.75175,0.56291,0.51086,0.52212,0.24604,1.73608,1.03038,1.74267,0.0294247,0.00980825,0.0294247,0.00980825,0.0294247,0.00980825,0.0294247,0.00980825
18,3093.55,1.64738,1.13672,1.75136,0.57368,0.48762,0.51713,0.24341,1.72515,1.02962,1.73927,0.0293511,0.00978371,0.0293511,0.00978371,0.0293511,0.00978371,0.0293511,0.00978371
19,3257.74,1.63608,1.11489,1.74478,0.56313,0.5143,0.53092,0.25706,1.70875,1.00274,1.71553,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
20,3426.3,1.63142,1.10224,1.72715,0.58261,0.49927,0.53219,0.25592,1.72969,0.99625,1.7116,0.029191,0.00973032,0.029191,0.00973032,0.029191,0.00973032,0.029191,0.00973032
21,3592.37,1.62236,1.09098,1.71372,0.58307,0.52329,0.5427,0.25975,1.70142,0.98401,1.69898,0.0291044,0.00970148,0.0291044,0.00970148,0.0291044,0.00970148,0.0291044,0.00970148
22,3762.2,1.61948,1.09102,1.7161,0.5924,0.5286,0.55646,0.27324,1.68789,0.97598,1.69472,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
23,3929.74,1.60696,1.07756,1.70231,0.61742,0.52673,0.56354,0.27883,1.66064,0.96609,1.67059,0.0289187,0.00963956,0.0289187,0.00963956,0.0289187,0.00963956,0.0289187,0.00963956
24,4091.76,1.60286,1.06537,1.70062,0.59081,0.54134,0.56562,0.27941,1.66249,0.96383,1.68029,0.0288195,0.0096065,0.0288195,0.0096065,0.0288195,0.0096065,0.0288195,0.0096065
25,4253.22,1.59629,1.06225,1.6912,0.61141,0.53537,0.57806,0.2855,1.66146,0.94241,1.66587,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
26,4414.25,1.58768,1.04877,1.68547,0.63057,0.5418,0.58745,0.29514,1.64709,0.93803,1.66959,0.0286087,0.00953622,0.0286087,0.00953622,0.0286087,0.00953622,0.0286087,0.00953622
27,4575.97,1.57891,1.04188,1.68369,0.63977,0.54898,0.59602,0.29921,1.63621,0.93421,1.65562,0.0284971,0.00949903,0.0284971,0.00949903,0.0284971,0.00949903,0.0284971,0.00949903
28,4737.54,1.56942,1.02739,1.6686,0.64554,0.55928,0.60187,0.30284,1.64966,0.91541,1.65751,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
29,4898.64,1.56454,1.02312,1.66659,0.62264,0.55037,0.59061,0.30101,1.62549,0.91258,1.65124,0.0282618,0.00942059,0.0282618,0.00942059,0.0282618,0.00942059,0.0282618,0.00942059
30,5060.5,1.56151,1.0198,1.6665,0.63295,0.5704,0.60912,0.31015,1.60885,0.90344,1.63717,0.0281381,0.00937937,0.0281381,0.00937937,0.0281381,0.00937937,0.0281381,0.00937937
31,5221.67,1.55932,1.01454,1.66341,0.64591,0.5639,0.60935,0.31038,1.6235,0.89192,1.64113,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
32,5383.22,1.54942,1.00354,1.65088,0.63906,0.5748,0.61612,0.31708,1.60728,0.88763,1.63186,0.0278789,0.00929298,0.0278789,0.00929298,0.0278789,0.00929298,0.0278789,0.00929298
33,5544.97,1.54521,0.99525,1.64248,0.63858,0.57592,0.61238,0.31841,1.60551,0.88928,1.62008,0.0277435,0.00924784,0.0277435,0.00924784,0.0277435,0.00924784,0.0277435,0.00924784
34,5706,1.54293,0.99173,1.63536,0.63655,0.57899,0.61749,0.31867,1.59673,0.88772,1.60774,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
35,5867.57,1.54061,0.97729,1.64001,0.6778,0.58079,0.63237,0.33026,1.58333,0.85988,1.60585,0.0274612,0.00915374,0.0274612,0.00915374,0.0274612,0.00915374,0.0274612,0.00915374
